Ticker,Planets,Stock Price,Consensus, Average Price target 12 months ,Average price % change 12M, revenue Average 1Y $Bn , revenue Average 2Y  , revenue Average 3Y  ,revenue growth 1Y ,revenue growth 2Y ,revenue growth 3Y , EPS Forecast 1Y , EPS Forecast 2Y , EPS Forecast 3Y ,% growth EPS Forecast 1Y,% growth EPS Forecast 2Y,%growth EPS Forecast 3Y
1G2 {XFRA],GomSpace Group AB (XFRA:1G2), $1.04 ,,,,,,,,,,,,,,,
AM [XPAR],Dassault Aviation SA (XPAR:AM), $159.70 ,,,,,,,,,,,,,,,
TDG [XNYS],TRANSDIGM GROUP INCORPORATED (XNYS:TDG), $605.23 ,,,,,,,,,,,,,,,
SAF [XPAR],Safran SA (XPAR:SAF), $99.93 ,,,,,,,,,,,,,,,
HWM [XNYS],HOWMET AEROSPACE INC. (XNYS:HWM), $35.32 ,,,,,,,,,,,,,,,
DCO [XNYS],DUCOMMUN INCORPORATED (XNYS:DCO), $42.76 ,STRONG BUY, $67.00 ,45.27%, $0.703 , $0.751 ,,7.96%,15.34%,, $3.69 , $4.26 ,,-67.97%,-63.02%,
RKLB [NASDAQ],"ROCKET LAB USA, INC. (XNAS:RKLB)", $4.90 ,STRONG BUY, $20.67 ,343.50%, $0.228 , $0.337 , $0.506 ,169.25%,297.72%,497.18%, $-0.21 , $-0.12 , $-0.01 ,,,
GD [XNYS],GENERAL DYNAMICS CORPORATION (XNYS:GD), $223.82 ,BUY/HOLD, $238.17 ,3.80%," $39,400 "," $42,500 "," $44,900 ",2.40%,10.55%,16.68%, $12.17 , $14.13 , $15.72 ,3.57%,20.26%,33.79%
EADSF [OTCM],Airbus SE (XFRA:AIR), $111.46 ,,,,,,,,,,,,,,,
BA [XNYS],THE BOEING COMPANY (XNYS:BA), $130.07 ,STRONG BUY/HOLD, $229.17 ,63.11%," $75,900 "," $90,900 "," $95,800 ",24.27%,48.81%,56.94%, $-0.81 , $5.32 , $8.40 ,,,
SPCE [XNYS],"Virgin Galactic Holdings, Inc. (XNYS:SPCE)", $6.93 ,MIXED/HOLD, $21.50 ,195.74%, $0.100 , $0.22 , $0.51 ,-71.67%,494.46%,1313.18%, $-1.51 , $-1.17 , $-1.10 ,,,
